"MD_EARN_WNE_P6","HIGHDEG","REGION","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","C150_4","C150_L4","UGDS","UGDS_MEN","NPT4_PUB","NPT4_PRIV","PCIP04","PCIP05","PCIP09","PCIP11","PCIP12","PCIP14","PCIP23","PCIP26","PCIP27","PCIP38","PCIP42","PCIP45","PCIP50","PCIP51","PCIP52","PCIP54","ADM_RATE","SAT_AVG"
28704,NA,"Southeast",0.0186,0.912,0.0088,0.18,0.0022,0.0016,0.2685,NA,4990,0.4076,14444,NA,0.0039,0,0,0.0592,0,0.1183,0.0158,0.0927,0.0059,0,0.0631,0.0355,0.0237,0,0.1578,0,0.8986,957
39271,NA,"Southeast",0.5717,0.2553,0.0334,6.33,0.0034,2e-04,0.5829,NA,13186,0.393,17005,NA,0,0.0016,0.0375,0.0139,0,0.0813,0.0207,0.0876,0.0112,0.0064,0.0602,0.0315,0.0339,0.2255,0.1908,0.01,0.9211,1220
47533,NA,"Southeast",0.7167,0.0969,0.0528,3.81,0.0095,8e-04,0.5187,NA,7458,0.5796,20909,NA,0,0,0.0194,0.059,0,0.2892,0.0153,0.0436,0.0153,0.0024,0.0202,0.0242,0.038,0.1543,0.2108,0.0105,0.8087,1314
25949,NA,"Southeast",0.0167,0.9352,0.0095,0.41,0.0013,5e-04,0.3001,NA,3903,0.371,13043,NA,0,0,0.0892,0.0585,0,0,0.0123,0.0831,0.0169,0,0.06,0.0138,0.0585,0.1677,0.1062,0.0046,0.9774,972
44485,NA,"Southeast",0.7774,0.0999,0.0499,1.16,0.0035,0.001,0.7188,NA,32177,0.4443,22232,NA,0,0.0027,0.0973,0.0132,0,0.116,0.0093,0.0332,0.0076,0.0016,0.0376,0.0364,0.0244,0.1101,0.2935,0.0124,0.5906,1252
33326,NA,"Southeast",0.452,0.4131,0.0117,2.21,0.004,7e-04,0.338,NA,4529,0.348,12680,NA,0,0,0.0339,0.1179,0,0,0.0136,0.042,0.0041,0,0.0379,0.0407,0.0298,0.2886,0.1477,0.0068,0.9281,1084
49695,NA,"Southeast",0.8078,0.055,0.0342,2.36,0.0038,5e-04,0.7812,NA,24147,0.5115,23696,NA,0.0181,0,0.0566,0.0098,0,0.1911,0.0102,0.1108,0.0058,0.0021,0.0279,0.0337,0.0296,0.0623,0.2251,0.0087,0.7543,1289
42523,NA,"Southeast",0.7858,0.1391,0.0213,2.53,0.0032,0,0.68,NA,1265,0.4791,NA,25494,0,0.0213,0.0284,0,0,0.0248,0.039,0.1489,0.0674,0.0213,0.1028,0.0674,0.1099,0,0.1986,0.0319,0.5666,1232
32902,NA,"Southeast",0.4238,0.481,0.0178,0.53,0.0024,0.0038,0.2794,NA,2079,0.4045,NA,25557,0,0,0,0.0145,0,0,0.0127,0.0054,0.0036,0,0.058,0.0036,0.0091,0.0091,0.5761,0,0.5227,1069
37025,NA,"Southeast",0.6503,0.2171,0.0557,0.93,0.0074,9e-04,0.4291,NA,1078,0.5056,NA,20136,0,0,0.0261,0,0,0,0.0174,0.1304,0.0087,0.0043,0.0174,0.013,0.0043,0.0174,0.4522,0.0174,0.5841,1100
